Age,Gender,Annual_Income,Employment_Status,Education_Level,Marital_Status,Dependents,Loan_Amount,Loan_Term,Credit_Score,Existing_Loan,Property_Area,Loan_Status
59,Female,304455,Salaried,Graduate,Single,1,1103062,240,413,Yes,Semiurban,0
49,Female,1518880,Salaried,Graduate,Married,0,394165,240,794,No,Semiurban,1
35,Female,898692,Salaried,Not Graduate,Married,3,785224,24,635,Yes,Rural,0
63,Female,435810,Self-Employed,Graduate,Married,0,1741275,360,868,No,Urban,1
28,Female,1519537,Salaried,Graduate,Single,1,724472,60,584,No,Rural,1
41,Female,1814062,Salaried,Not Graduate,Married,0,625985,12,428,No,Urban,1
59,Male,577858,Unemployed,Graduate,Single,1,1609038,180,614,No,Semiurban,0
39,Female,1764694,Self-Employed,Graduate,Single,1,1154574,24,897,No,Semiurban,1
43,Female,1694859,Self-Employed,Graduate,Married,0,159537,36,370,No,Urban,1
31,Male,684522,Salaried,Graduate,Single,1,934248,24,644,No,Semiurban,1
31,Male,731904,Self-Employed,Graduate,Married,2,1125152,120,397,Yes,Rural,0
44,Female,421365,Self-Employed,Not Graduate,Single,0,1279748,24,599,Yes,Urban,0
56,Male,1341058,Self-Employed,Not Graduate,Married,2,1468784,36,475,No,Semiurban,0
60,Female,1933991,Self-Employed,Not Graduate,Married,0,1179814,120,374,No,Semiurban,1
44,Male,866773,Salaried,Not Graduate,Single,1,1313621,240,442,Yes,Semiurban,0
23,Female,1199627,Salaried,Graduate,Single,1,1224461,180,322,Yes,Semiurban,0
42,Male,1799782,Salaried,Graduate,Single,3,1688593,60,480,Yes,Urban,0
22,Male,228116,Salaried,Not Graduate,Married,3,1189429,180,344,No,Urban,0
44,Female,534370,Self-Employed,Not Graduate,Single,2,1744856,24,768,No,Semiurban,0
64,Female,1427507,Salaried,Graduate,Single,1,1847954,240,391,No,Rural,0
50,Female,1505477,Unemployed,Not Graduate,Married,3,1052383,60,568,Yes,Rural,0
58,Female,669385,Unemployed,Graduate,Married,1,1389864,24,333,Yes,Rural,0
22,Female,1581728,Salaried,Graduate,Single,0,961575,12,881,No,Rural,1
41,Male,1722138,Salaried,Graduate,Single,3,1811262,12,663,No,Urban,1
53,Female,1931411,Self-Employed,Graduate,Single,2,1437868,36,432,No,Urban,1
32,Female,376572,Unemployed,Graduate,Married,3,1904315,240,681,Yes,Rural,0
42,Male,281379,Salaried,Graduate,Married,1,1421318,360,576,No,Urban,0
64,Male,1779753,Salaried,Graduate,Single,4,1511415,240,455,No,Rural,1
45,Female,1136399,Salaried,Graduate,Married,4,725609,360,686,No,Semiurban,1
47,Male,376256,Self-Employed,Graduate,Single,1,516981,180,834,No,Semiurban,1
62,Male,972376,Salaried,Not Graduate,Single,0,141810,12,499,Yes,Rural,0
48,Female,1035987,Self-Employed,Graduate,Married,3,939302,120,574,No,Urban,0
36,Male,712422,Salaried,Graduate,Single,4,1170707,120,800,No,Rural,1
35,Male,570539,Salaried,Graduate,Single,0,1979146,240,758,No,Urban,1
64,Female,1707997,Salaried,Graduate,Married,1,1268025,240,349,No,Semiurban,0
23,Female,352834,Salaried,Not Graduate,Single,0,495581,24,831,Yes,Urban,1
57,Male,1679017,Salaried,Graduate,Single,1,1464132,240,391,No,Rural,1
27,Male,1426155,Salaried,Not Graduate,Married,3,1395271,60,755,No,Semiurban,1
41,Female,700242,Salaried,Graduate,Single,0,879358,120,638,No,Semiurban,1
29,Male,860381,Salaried,Graduate,Single,3,140214,24,352,Yes,Urban,1
59,Male,1550679,Salaried,Graduate,Married,0,399894,360,795,Yes,Semiurban,1
38,Male,901287,Unemployed,Graduate,Married,1,1137175,60,303,Yes,Semiurban,0
24,Female,1933802,Salaried,Graduate,Married,1,279417,240,580,Yes,Urban,1
45,Male,1924363,Salaried,Graduate,Single,0,683778,240,589,No,Semiurban,1
34,Male,1465712,Self-Employed,Graduate,Married,1,1454050,12,372,Yes,Rural,0
29,Female,676249,Unemployed,Graduate,Single,2,596881,24,436,No,Urban,0
46,Male,686785,Salaried,Not Graduate,Married,2,1848336,60,692,Yes,Urban,0
22,Male,575767,Self-Employed,Graduate,Single,3,684153,36,507,No,Urban,0
40,Female,1979310,Self-Employed,Graduate,Single,2,1607541,240,559,No,Urban,1
48,Female,949687,Self-Employed,Graduate,Married,2,1027397,180,562,No,Rural,0
27,Female,285639,Salaried,Graduate,Single,4,747996,180,804,No,Urban,1
64,Female,910177,Self-Employed,Graduate,Single,4,512441,240,849,No,Rural,1
28,Male,1901939,Salaried,Not Graduate,Married,4,1007867,36,502,No,Urban,1
55,Male,1218965,Self-Employed,Not Graduate,Single,4,1285607,120,646,No,Urban,1
34,Female,1374171,Self-Employed,Graduate,Single,1,791277,180,351,No,Semiurban,0
37,Female,1584522,Salaried,Graduate,Single,3,279701,60,892,No,Semiurban,1
56,Male,473720,Self-Employed,Graduate,Married,3,1056629,240,655,Yes,Rural,0
60,Female,1194846,Salaried,Graduate,Married,2,182192,240,818,No,Semiurban,1
24,Male,980351,Self-Employed,Graduate,Married,3,983995,240,662,Yes,Urban,0
22,Female,887463,Salaried,Graduate,Married,2,1142214,36,344,No,Rural,0
26,Male,153358,Salaried,Graduate,Married,3,1268710,120,677,No,Semiurban,1
62,Female,500679,Salaried,Graduate,Married,0,1890201,24,711,No,Urban,0
24,Female,651110,Unemployed,Graduate,Married,0,1056648,240,441,No,Semiurban,0
49,Male,1451133,Salaried,Graduate,Married,3,1113789,24,557,No,Semiurban,1
